Date,Close,High,Low,Open,Volume
2021-01-01,1086.09716796875,1090.448664611065,1082.0904672170202,1083.899961941162,4253550
2021-01-04,1110.0516357421875,1111.5595653851517,1086.700289165247,1093.4644096695795,7208454
2021-01-05,1114.8341064453125,1119.3147701487244,1098.677715421226,1104.6663089535523,8145280
2021-01-06,1104.7525634765625,1121.8999025322664,1092.6461030616813,1120.17655398767,7161715
2021-01-07,1087.562255859375,1118.1516939897044,1081.8321006374272,1116.7299103354087,10954918
2021-01-08,1130.6026611328125,1134.6525928560131,1101.435011419496,1101.435011419496,13186251
2021-01-11,1185.8359375,1191.9969287839901,1154.6433749666262,1156.4528696665475,20528626
2021-01-12,1182.0015869140625,1187.3870506780231,1171.8769150378166,1187.3870506780231,8309868
2021-01-13,1195.271240234375,1200.13971990124,1171.8767675510776,1183.81093271307,14442997
2021-01-14,1180.9244384765625,1192.5570396581995,1136.074256291206,1171.8768597797336,27521697
2021-01-15,1158.9085693359375,1175.7112147298128,1154.6433245021933,1171.8768069574498,15018441
2021-01-18,1130.5596923828125,1154.6434445439536,1125.3465213241816,1152.920096119261,8861765
2021-01-19,1134.5233154296875,1146.8883187154604,1130.5165095076513,1137.4099028583078,5585744
2021-01-20,1154.1695556640625,1161.8816034699987,1137.8839961542835,1137.8839961542835,8225838
2021-01-21,1154.3848876953125,1172.7817160773957,1150.3350610151126,1163.2601740602263,6142421
2021-01-22,1155.3758544921875,1168.430239935515,1143.0539762822382,1143.4416876065104,9646591
2021-01-25,1141.8045654296875,1161.4507810538796,1131.378327696567,1158.9519046092023,6542611
2021-01-27,1121.038330078125,1143.915826159427,1107.337686867255,1137.0654519615634,8133665
2021-01-28,1099.668701171875,1117.117605772038,1096.5236741202204,1113.1109044191408,4660690
2021-01-29,1067.657470703125,1112.5506759537004,1060.7209512469485,1108.32845129276,12183519
2021-02-01,1086.4849853515625,1101.176466884617,1069.3376482785413,1077.566678701436,8880279
2021-02-02,1095.4033203125,1115.351098962238,1088.8114916842712,1102.9429695181907,6892490
2021-02-03,1106.9495849609375,1123.6229567250703,1096.9110612814527,1100.9178666349594,8182968
2021-02-04,1102.3829345703125,1114.489499899249,1096.0927756341387,1107.2514151368716,5032240
2021-02-05,1096.1356201171875,1110.4825151618702,1087.4327325969195,1108.4576020295785,5477481
2021-02-08,1123.2354736328125,1128.7932302881572,1099.0654696431639,1107.682211859104,6921922
2021-02-09,1124.9588623046875,1147.7501042069305,1118.3239074502417,1126.1221015084686,7965949
2021-02-10,1117.16064453125,1123.924766232091,1106.0450258741864,1116.5575146413062,5951207
2021-02-11,1113.8431396484375,1116.7297270881256,1105.5710886329,1110.6980078831743,4673317
2021-02-12,1128.620849609375,1140.6411619904115,1121.5120378349307,1124.4847715939468,5797875
2021-02-15,1128.49169921875,1144.648091358565,1126.2943878137974,1137.410006642959,4363513
2021-02-16,1111.904296875,1137.1944110642016,1108.1129097393925,1132.2397849125675,6896421
2021-02-17,1104.063232421875,1115.4372901782608,1098.6346427016474,1111.9044468739928,4575741
2021-02-18,1113.6707763671875,1125.3465038369814,1098.6346036693349,1099.4962778682911,6437551
2021-02-19,1112.679931640625,1119.7456179756161,1100.1856557955718,1116.8159046715325,5389696
2021-02-22,1090.1903076171875,1127.5439735379998,1085.7096432270175,1115.8682444277679,7371303
2021-02-23,1091.18115234375,1112.42144338809,1083.5984821457366,1095.3172307680072,6612942
2021-02-24,1098.031494140625,1100.013281724026,1078.8161170740752,1085.7526365780805,4537258
2021-02-25,1098.246826171875,1119.960972603115,1096.0495150230138,1110.2240126677355,8788221
2021-02-26,1079.936279296875,1098.0314368662373,1072.5689230697005,1093.4645216914641,15132388
2021-03-01,1091.740966796875,1106.8202619183787,1084.8475747413304,1088.5528150451116,5756286
2021-03-02,1124.0540771484375,1128.7932855994275,1102.253676199945,1104.8818247785234,10461434
2021-03-03,1157.702392578125,1160.6751264405077,1127.0698332473528,1136.7205420391444,9056399
2021-03-04,1146.3282470703125,1175.194332673044,1142.4938389671688,1150.3350531237788,12041941
2021-03-05,1134.5665283203125,1154.6435819308117,1124.5281066999157,1144.7343273097638,6486176
2021-03-08,1150.9813232421875,1159.8996302572925,1134.9972246111543,1141.5460327392925,5119392
2021-03-09,1159.4256591796875,1163.6477782378126,1136.332750591368,1145.5957474208333,6518173
2021-03-10,1178.8995361328125,1183.9403089878242,1167.568499766013,1169.2057017251611,7925984
2021-03-12,1184.6728515625,1199.1920420055471,1180.5368781687152,1183.078775196619,9462061
2021-03-15,1183.595703125,1189.0242928563487,1170.5844432688077,1180.493696929162,6658635
2021-03-16,1192.55712890625,1211.5139618801932,1189.5412691149409,1194.323603143668,9352771
2021-03-17,1195.142333984375,1206.3441006331109,1190.8339621963996,1199.666124361749,7626744
2021-03-18,1152.14453125,1200.9583948470276,1131.8090415293782,1200.9583948470276,10961755
2021-03-19,1158.477783203125,1167.740780430042,1135.6865437280399,1146.026633655761,12767112
2021-03-22,1181.1829833984375,1185.663646967112,1151.2828268647472,1163.346265133308,4862758
2021-03-23,1181.8291015625,1191.9106460118596,1171.5320334128635,1182.60452407028,7165335
2021-03-24,1166.491455078125,1180.8813722284217,1160.028898540296,1170.0242982818368,6134303
2021-03-25,1149.3011474609375,1165.4144137321318,1143.958704043089,1160.4597868345645,8749994
2021-03-26,1151.369140625,1169.033463514783,1147.7501506922524,1158.6933720671052,4922071
2021-03-30,1193.6773681640625,1206.3439374331733,1151.326058180779,1160.5890562717839,10546381
2021-03-31,1178.8134765625,1196.0038354373928,1174.7205239556358,1190.8337900392485,8220987
2021-04-01,1193.591064453125,1199.1058003917483,1181.3553328390126,1189.1104006694657,5675155
2021-04-05,1214.8743896484375,1227.88564811075,1195.1420308277966,1198.588727383897,9479572
2021-04-06,1215.865234375,1228.7472196033643,1211.9014495187441,1226.1621974022353,5793571
2021-04-07,1232.3665771484375,1236.4595301908835,1212.031084121887,1215.1762164441059,5879234
2021-04-08,1240.681640625,1250.8924593912707,1224.4391021437357,1232.1941703487278,5654434
2021-04-09,1241.7154541015625,1253.7357652407666,1232.237039381529,1253.7357652407666,6052712
2021-04-12,1228.5318603515625,1273.1666212515227,1219.2688636839985,1270.107636092024,20384532
2021-04-13,1203.8880615234375,1236.7178256509376,1184.8019580352127,1234.7790588105163,14855206
2021-04-15,1172.5233154296875,1177.3917963102572,1137.4100873541704,1148.0087234239115,25342491
2021-04-16,1166.491455078125,1181.226062947407,1160.3304634750934,1176.1852898848683,10879878
2021-04-19,1174.07421875,1188.851847075062,1148.0515948995885,1154.6434235411007,12508028
2021-04-20,1164.4234619140625,1188.2487756609848,1156.7115195484307,1188.2487756609848,8560766
2021-04-22,1164.2081298828125,1176.0131309462072,1159.081209853302,1168.0426436425228,6622446
2021-04-23,1149.3011474609375,1161.8815703725743,1146.8884175064454,1157.2285084231075,7316262
2021-04-26,1157.702392578125,1164.380367507534,1138.271597645071,1147.9654322200197,7088606
2021-04-27,1161.9677734375,1165.8453077203837,1154.7728141940079,1159.8135877247869,3636115
2021-04-28,1168.4300537109375,1171.4459129941147,1158.606948151624,1170.153401872753,4879234
2021-04-29,1168.7318115234375,1179.6320114831685,1164.4665661928148,1178.7703372600251,5412357
2021-04-30,1167.0086669921875,1183.8544430720901,1159.727560608313,1160.0722513947676,8354677
2021-05-03,1165.026611328125,1172.7385531266991,1152.920047085616,1155.3327768515082,4560337
2021-05-04,1145.509521484375,1167.5252307041808,1140.9426068721798,1166.706682417477,4887060
2021-05-05,1155.935791015625,1158.003829867303,1144.1308980639017,1155.5911003428744,3939788
2021-05-06,1173.255615234375,1175.9267843211148,1152.4031408587186,1158.9518439960027,4810090
2021-05-07,1165.4573974609375,1183.1217172904696,1161.967575128,1176.4437427207686,4991435
2021-05-10,1154.255859375,1165.7591903300936,1150.3783249956527,1163.1310416212618,7195348
2021-05-11,1146.5869140625,1155.50522191954,1141.8045796830766,1151.9723783704771,6420988
2021-05-12,1143.4417724609375,1146.0267953074956,1132.6708439336114,1146.0267953074956,5241898
2021-05-14,1134.307861328125,1143.3123140362059,1129.913344241812,1143.3123140362059,4824609
2021-05-17,1145.509521484375,1150.291749427704,1137.6683085405425,1137.6683085405425,5017129
2021-05-18,1154.6435546875,1158.6072354054272,1145.5959745947994,1152.9202060984142,5620150
2021-05-19,1152.058349609375,1169.6795440720994,1148.8270715158558,1156.3667204007338,4435878
2021-05-20,1154.0401611328125,1162.4845041794445,1150.334920438742,1161.88137438498,4490092
2021-05-21,1167.1376953125,1169.7227178934802,1160.1150295972031,1161.10597595688,4969733
2021-05-24,1161.5799560546875,1174.461943366911,1159.037954034809,1168.9903331930352,4225371
2021-05-25,1173.255615234375,1178.770351365451,1167.0946234282085,1170.1536090309082,4099340
2021-05-26,1203.974365234375,1206.3439694601002,1173.6434732190312,1178.6842466258772,6850024
2021-05-27,1208.2825927734375,1220.346031032541,1199.1918882971079,1209.9628153141646,15365391
2021-05-28,1210.6954345703125,1218.4073769544673,1202.983387001314,1214.7452614296749,4261312
2021-05-31,1213.9180908203125,1220.6681286347393,1204.5551351422366,1220.6681286347393,4429904
2021-06-01,1208.2130126953125,1220.232475755332,1200.7662615923773,1219.3615032530086,4791325
2021-06-02,1200.766357421875,1212.3502288353206,1188.8775605523726,1202.595378558746,9272276
2021-06-03,1210.34716796875,1218.4907410067083,1199.372933809797,1208.9971178292371,5115645
2021-06-04,1206.8631591796875,1216.6616005621086,1199.895378641077,1214.09216769656,4194328
2021-06-07,1210.34716796875,1212.3939324384116,1199.5906769729504,1211.5229597857979,5154576
2021-06-08,1230.640625,1238.305225986675,1215.485787648902,1215.8776827694026,7360630
2021-06-09,1232.6875,1241.1358912581513,1223.3680298666877,1231.0326308810106,5394317
2021-06-10,1240.526123046875,1244.6196510998668,1235.90992645956,1240.2647887797134,3496575
2021-06-11,1260.2100830078125,1264.3036110722962,1245.011549675881,1245.5777030430665,6140828
2021-06-14,1273.1876220703125,1286.4263613244386,1265.9149167591186,1281.2005264104598,7132294
2021-06-15,1283.726318359375,1285.5553392447312,1274.2326973679144,1275.103669819977,5403104
2021-06-16,1289.5616455078125,1297.269729573388,1278.1519289393461,1282.6809426502302,7661710
2021-06-17,1302.365234375,1308.7668610479423,1284.7715259128947,1284.7715259128947,7677951
2021-06-18,1309.3330078125,1320.2201641126776,1295.4845237346972,1314.2975085574267,13533974
2021-06-21,1306.719970703125,1311.5103190367672,1292.6972296160168,1300.3618294777948,5454052
2021-06-22,1316.7796630859375,1325.1409772519048,1308.2876817899016,1314.907051074631,6427862
2021-06-23,1309.202392578125,1328.2331212813588,1305.283016154672,1328.2331212813588,5529809
2021-06-24,1358.0203857421875,1366.3382162960427,1316.2137024706592,1321.2653858939264,10785137
2021-06-25,1371.0849609375,1374.3946991922826,1343.9106596031002,1369.168863834137,9780240
2021-06-28,1368.9945068359375,1376.2671053562678,1359.23955183632,1369.9525552441462,5019178
2021-06-29,1361.3734130859375,1370.6056989957037,1358.020084386749,1359.5878771894832,5913567
2021-06-30,1376.833251953125,1385.7171281600788,1369.212243234457,1369.212243234457,6058722
2021-07-01,1359.065673828125,1373.3931306494867,1357.889882075595,1373.3931306494867,4814317
2021-07-02,1365.5107421875,1366.9477617714929,1343.562171167975,1357.8025504266625,5166064
2021-07-05,1375.2220458984375,1380.491472279574,1359.6317225292362,1366.6865788207563,4058338
2021-07-06,1360.63330078125,1382.015719815571,1356.1913619563304,1370.6494852954324,4089574
2021-07-07,1362.7236328125,1367.9059832858584,1345.347772938037,1363.9866068041097,4797120
2021-07-08,1359.370361328125,1372.6526922653372,1349.1364342125682,1365.684912101554,3326813
2021-07-09,1361.2430419921875,1367.3398499422146,1350.8784472131626,1355.2333100346107,3436594
2021-07-12,1348.1348876953125,1374.3947322658926,1335.8541955721248,1367.9060290680072,4588982
2021-07-13,1345.60888671875,1355.5815853790407,1338.0750598435359,1355.5815853790407,4456160
2021-07-14,1373.4364013671875,1378.5751598006777,1339.642629656662,1353.49111210628,5657716
2021-07-15,1376.833251953125,1390.8122955822987,1355.2330932854072,1356.8879621568644,10021355
2021-07-16,1354.7542724609375,1371.4770099793125,1349.6591040738929,1370.6931133844064,6265593
2021-07-19,1342.7781982421875,1352.533153580218,1339.1637475912771,1345.3911156206077,5669162
2021-07-20,1350.0509033203125,1356.7137575793088,1339.5556426558176,1339.816976921609,5069939
2021-07-22,1385.0203857421875,1387.3284840624563,1359.9364422808278,1359.9364422808278,7854575
2021-07-23,1385.2384033203125,1392.2497756537243,1380.5352360843801,1383.5836403476194,4179719
2021-07-26,1396.952880859375,1403.7029180573702,1388.4173074229864,1388.4173074229864,4586710
2021-07-27,1395.777099609375,1401.6561643095713,1391.7270559963727,1397.9109398244527,5892859
2021-07-28,1398.43359375,1400.1755389605307,1380.927065648147,1397.9981074473674,4686788
2021-07-29,1408.362548828125,1410.9754663584183,1393.643092143495,1393.643092143495,4660873
2021-07-30,1402.701171875,1413.9367380735853,1398.9124628703291,1402.2656856372244,6234257
2021-08-02,1421.03515625,1423.8222255873973,1410.2785613387637,1417.4640841166172,5553389
2021-08-03,1441.6336669921875,1444.638585966481,1424.562626930286,1434.4917348838053,5513668
2021-08-04,1436.4515380859375,1463.14686912244,1427.5676602328276,1453.7403226615859,6740391
2021-08-05,1440.1966552734375,1451.0402206367958,1434.5353338843984,1436.6691740338504,5420536
2021-08-06,1437.2786865234375,1446.380412367593,1431.8786998912153,1443.2013416786763,3754855
2021-08-09,1448.688720703125,1452.3031718189327,1433.9692629808042,1446.6854412607183,5018477
2021-08-10,1460.838623046875,1463.233797417648,1446.7289110997303,1452.7821274360933,6846517
2021-08-11,1461.0999755859375,1466.7177057432823,1452.7821455937024,1458.7048011852285,4899639
2021-08-12,1471.5950927734375,1477.6048241977232,1458.0079432401938,1462.4934728122273,5659579
2021-08-13,1491.2789306640625,1500.2499890919528,1473.0756921948412,1478.0401924464695,5612790
2021-08-16,1484.485595703125,1498.0291547007535,1472.030646043933,1487.3597412491697,4564109
2021-08-17,1516.928955078125,1523.2435043676794,1468.9384017414834,1484.0497501566515,9510390
2021-08-18,1509.787109375,1528.9920938969278,1504.1693797550522,1505.9113246071138,6686090
2021-08-20,1509.3516845703125,1519.8469452589354,1494.6758198585792,1494.6758198585792,6206972
2021-08-23,1514.4034423828125,1526.9454677131089,1508.5243779767254,1511.790524868996,6189051
2021-08-24,1498.81298828125,1530.298665061431,1491.7145412231635,1524.2018576309072,7602939
